📛 name,🔢 Token ID,🔒 Locked THE,🧾 veTHE Balance,🤑 Estimated BUSD Value,⏲️ Lock End Date,🗳️ Vote Share %,✔️ Vote Reset,⚡ Voted Current Epoch
Guru,2714,268664.154,265503.2908,179372.8022,2025-03-06,0.9067,No,Yes
Champion,6264,65363.5817,65221.3306,43639.7958,2025-03-13,0.2227,Yes,Yes
Thena,22,717398.2649,688320.3065,478968.7613,2025-02-13,2.3505,No,No
Thena Team Member 1,23,777529.9477,775837.7673,519115.4957,2025-03-13,2.6494,No,No
Thena Team Member 2,20,776515.6404,745041.469,518438.2966,2025-02-13,2.5442,No,No
Thena Team Member 3,19,583147.4608,581878.2977,389336.6218,2025-03-13,1.987,No,No
Thena Team Member 3,7562,9286.5407,9266.3308,6200.1305,2025-03-13,0.0316,No,Yes
Thena Team Member 4,25,303073.5399,296601.5609,202346.1236,2025-02-27,1.0129,No,No
Thena Team Member 5,21,737862.138,715030.0826,492631.4037,2025-02-20,2.4417,No,No
Thena Team Member 6,24,1904013.8898,1881612.3235,1271209.0605,2025-03-06,6.4254,No,No
Ankr,1,1369498.8334,1353386.0734,914341.715,2025-03-06,4.6216,No,Yes
Multichain,2,539310.067,538136.3117,360068.7197,2025-03-13,1.8377,No,Yes
Frax,16,942183.3753,849786.3205,629045.854,2025-01-02,2.9019,No,No
QiDAO,26,335611.9356,322008.7706,224070.2842,2025-02-13,1.0996,No,No
pSTAKE,3,672988.1252,606990.389,449318.4671,2025-01-02,2.0728,No,Yes
Stader,4,610049.887,597022.6736,407297.9445,2025-02-27,2.0388,No,No
USD+,5,541353.563,498646.739,361433.0536,2025-01-16,1.7028,No,Yes
GrizzlyFi,6,587424.3352,580513.1117,392192.064,2025-03-06,1.9824,No,Yes
DAO Maker,4903,114374.7,113029.0473,76361.9193,2025-03-06,0.386,No,Yes
DAO Maker,1772,125956.4004,122058.8295,84094.4062,2025-02-20,0.4168,No,Yes
DAO Maker,2463,62972.8729,61024.2523,42043.6463,2025-02-20,0.2084,No,Yes
DAO Maker,1774,368736.934,357326.7908,246186.0882,2025-02-20,1.2202,No,Yes
DAO Maker,2462,62972.8729,61024.2523,42043.6463,2025-02-20,0.2084,No,Yes
Deus,8,669286.5874,603651.5941,446847.1467,2025-01-02,2.0614,No,No
Deus,9,401821.8249,362416.4394,268275.1146,2025-01-02,1.2376,No,No
Deus,3375,554.1909,505.1574,370.0039,2025-01-09,0.0017,Yes,No
Deus,6379,318.4426,305.5352,212.6072,2025-02-13,0.001,Yes,No
xCAD,27,553549.1071,509880.0576,369575.3713,2025-01-16,1.7412,No,No
xCAD,5600,387658.2359,383097.0808,258818.8377,2025-03-06,1.3082,No,No
LiquidDriver,17,1174706.7264,1160885.223,784289.3594,2025-03-06,3.9643,No,No
Tarot,10,541647.2952,524886.561,361629.163,2025-02-20,1.7924,No,Yes
Byte Masons,11,470274.2556,464741.0472,313977.171,2025-03-06,1.587,No,Yes
Helio,12,524870.2096,473397.6115,350427.993,2025-01-02,1.6166,No,Yes
Inverse,13,676251.2886,668294.5712,451497.1082,2025-03-06,2.2821,No,Yes
Impossible,14,458842.3746,413844.9472,306344.7105,2025-01-02,1.4132,No,Yes
Coin98,15,471091.6877,424893.0034,314522.927,2025-01-02,1.451,No,Yes
Crypto Zen,795,71402.6511,68508.4879,47671.762,2025-02-13,0.2339,No,Yes
Crypto Zen,2313,65915.0628,62611.2501,44007.9904,2025-02-06,0.2138,No,Yes
Crypto Zen,772,71332.5283,67073.1964,47624.9447,2025-01-30,0.229,No,Yes
Crypto Zen,4900,65108.8817,61221.1417,43469.7461,2025-01-30,0.2091,No,Yes
Crypto Zen,5159,66759.9324,62773.6059,44572.065,2025-01-30,0.2144,No,Yes
Crypto Zen,652,8019.6463,7386.9809,5354.2924,2025-01-16,0.0252,No,Yes
Millennium Club,330,189544.8038,187314.6712,126549.0096,2025-03-06,0.6397,No,Yes
proepkes,3077,274394.3162,271165.715,183198.5275,2025-03-06,0.926,No,No
proepkes,109,33100.9893,32711.5137,22099.7744,2025-03-06,0.1117,No,No
proepkes,1726,8988.8188,8883.0534,6001.3574,2025-03-06,0.0303,No,No
proepkes,1146,11564.0077,11427.9417,7720.6744,2025-03-06,0.039,No,No
proepkes,570,3120.9362,3084.2143,2083.6835,2025-03-06,0.0105,No,No
proepkes,454,1933.257,1910.5096,1290.7331,2025-03-06,0.0065,No,No
Steph,1300,511865.5258,510751.022,341745.4556,2025-03-13,1.7441,No,No
0x93bf...2448,421,136933.9081,124818.1665,91423.5057,2025-01-09,0.4262,No,No
0x93bf...2448,495,17575.1302,15851.5776,11733.982,2025-01-02,0.0541,No,No
0x93bf...2448,4827,3078.8389,2835.9502,2055.5774,2025-01-16,0.0097,No,No
0x93bf...2448,5714,123079.503,115730.2251,82173.6544,2025-01-30,0.3952,No,No
0x0d3d...da91,3075,181971.8944,178085.7823,121492.9797,2025-02-27,0.6081,No,No
0x0d3d...da91,18,1087743.3686,1074944.4136,726228.5391,2025-03-06,3.6708,No,No
